profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,ordersGenerated,ordersSent,ordersCompleted,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageSuccessChance,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,3,True,0,99,1,0,0,120,319,0,0,-199,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2346,12346,3,True,0,81,1,0,0,129,310,0,0,-181,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2347,12347,3,True,0,140,1,0,0,118,348,0,10,-240,24,0,0,0,24,0,0,0,4,3,1,0,1,1
Investigator,2348,12348,3,True,0,84,1,0,0,135,319,0,0,-184,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2349,12349,3,True,0,85,1,0,0,125,310,0,0,-185,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2350,12350,3,True,0,122,1,0,0,136,348,0,10,-222,24,0,0,0,24,0,0,0,4,3,1,0,1,1
Investigator,2351,12351,3,True,0,77,1,0,0,142,319,0,0,-177,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2352,12352,3,True,0,112,1,0,0,107,319,0,0,-212,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2353,12353,3,True,0,82,1,0,0,128,310,0,0,-182,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Investigator,2354,12354,3,True,0,79,1,0,0,131,310,0,0,-179,24,0,0,0,24,0,0,0,3,2,1,0,1,1
Middle-ground,2345,22345,3,True,0,128,1,0,0,58,286,0,0,-228,24,0,0,0,24,0,0,0,3,2,1,0,0.5,0.31
Middle-ground,2346,22346,3,True,0,166,1,0,0,53,319,0,0,-266,24,0,0,0,24,0,0,0,3,2,1,0,0.542,0.323
Middle-ground,2347,22347,3,True,0,170,1,0,0,49,319,0,0,-270,24,0,0,0,24,0,0,0,3,2,1,0,0.625,0.306
Middle-ground,2348,22348,3,True,0,177,1,0,0,42,319,0,0,-277,24,0,0,0,24,0,0,0,3,2,1,0,0.292,0.283
Middle-ground,2349,22349,3,True,0,163,1,0,0,47,310,0,0,-263,24,0,0,0,24,0,0,0,3,2,1,0,0.542,0.471
Middle-ground,2350,22350,3,True,0,175,1,0,0,35,310,0,0,-275,24,0,0,0,24,0,0,0,3,2,1,0,0.542,0.302
Middle-ground,2351,22351,3,True,0,165,1,0,0,45,310,0,0,-265,24,0,0,0,24,0,0,0,3,2,1,0,0.458,0.333
Middle-ground,2352,22352,3,True,0,175,1,0,0,35,310,0,0,-275,24,0,0,0,24,0,0,0,3,2,1,0,0.458,0.333
Middle-ground,2353,22353,3,True,0,169,1,0,0,50,319,0,0,-269,24,0,0,0,24,0,0,0,3,2,1,0,0.417,0.46
Middle-ground,2354,22354,3,True,0,131,1,0,0,55,286,0,0,-231,24,0,0,0,24,0,0,0,3,2,1,0,0.417,0.402
Traiter,2345,32345,3,True,0,95,1,0,0,115,310,0,0,-195,24,0,0,0,24,0,0,0,3,2,1,0,1,0.715
Traiter,2346,32346,3,True,0,120,1,0,0,90,310,0,0,-220,24,0,0,0,24,0,0,0,3,2,1,0,1,0.69
Traiter,2347,32347,3,True,0,132,1,0,0,78,310,0,0,-232,24,0,0,0,24,0,0,0,3,2,1,0,1,0.7
Traiter,2348,32348,3,True,0,123,1,0,0,96,319,0,0,-223,24,0,0,0,24,0,0,0,3,2,1,0,1,0.744
Traiter,2349,32349,3,True,0,120,1,0,0,90,310,0,0,-220,24,0,0,0,24,0,0,0,3,2,1,0,1,0.723
Traiter,2350,32350,3,True,0,107,1,0,0,103,310,0,0,-207,24,0,0,0,24,0,0,0,3,2,1,0,1,0.706
Traiter,2351,32351,3,True,0,104,1,0,0,106,310,0,0,-204,24,0,0,0,24,0,0,0,3,2,1,0,1,0.775
Traiter,2352,32352,3,True,0,133,1,0,0,86,319,0,0,-233,24,0,0,0,24,0,0,0,3,2,1,0,1,0.752
Traiter,2353,32353,3,True,0,124,1,0,0,86,310,0,0,-224,24,0,0,0,24,0,0,0,3,2,1,0,1,0.725
Traiter,2354,32354,3,True,0,127,1,0,0,92,319,0,0,-227,24,0,0,0,24,0,0,0,3,2,1,0,1,0.688
Lazy,2345,42345,3,True,0,45,1,0,0,171,316,0,0,-145,8,8,0,8,0,0,5,1,3,0,2,0,0.5,0.25
Lazy,2346,42346,3,True,0,1,1,0,0,252,353,0,0,-101,12,12,0,12,0,0,5,1,3,0,2,4.583,0.667,0.083
Lazy,2347,42347,10,False,323,0,1,30,0,1175,892,0,60,223,51,51,3,48,0,0,19,6,9,0,3,4.118,0.549,0.174
Lazy,2348,42348,10,False,275,0,1,30,0,933,658,0,100,175,41,41,3,38,0,0,10,11,13,0,2,3.537,0.488,0.135
Lazy,2349,42349,10,False,139,0,1,0,0,883,794,0,50,39,36,36,0,36,0,0,15,5,8,0,3,3.889,0.5,0.183
Lazy,2350,42350,10,False,104,0,1,20,0,874,830,0,40,4,37,37,2,35,0,0,13,5,7,0,2,3.919,0.405,0.199
Lazy,2351,42351,10,False,258,0,1,20,0,942,744,0,40,158,36,36,2,34,0,0,15,4,7,0,3,3.889,0.444,0.111
Lazy,2352,42352,10,False,122,0,1,0,0,877,815,0,40,22,45,45,1,44,0,0,22,4,7,1,2,3.778,0.689,0.124
Lazy,2353,42353,10,False,229,0,1,0,0,969,790,0,50,129,42,42,0,42,0,0,18,5,8,0,3,2.5,0.548,0.174
Lazy,2354,42354,3,True,0,77,1,0,0,164,341,0,0,-177,9,9,0,9,0,0,5,0,3,1,2,5.556,0.778,0.15
