profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,530,0,2,310.5,310.5,1,2186,1110,576,70,430,1546,10,65,41,26,10,11,15,24,0,19,6,10,0,4,2.5,59.854,17.11,37.805,1,1
Investigator,2346,12346,10,False,976,0,2,329,329,0,2690,1132,592,90,876,1493,11,67,48,28,11,9,20,19,0,21,9,12,0,3,2.333,49.191,15.719,42.5,1,1
Investigator,2347,12347,10,False,960,0,2,280,280,0,2333,1050,343,80,860,1357,6,63,49,23,8,12,26,14,0,20,7,11,0,4,2.75,57.857,16.367,34.898,1,1
Investigator,2348,12348,10,False,1261,0,2,481.5,481.5,0,2975,1033,701,80,1161,2391,11,64,55,36,18,14,19,9,0,20,7,11,0,4,3.5,56.784,18.545,38.909,1,1
Investigator,2349,12349,10,False,385,0,2,260.5,260.5,0,2127,1148,654,40,285,1912,11,53,49,24,9,13,25,4,0,23,3,7,0,4,3.5,50.466,16.398,40.816,1,1
Investigator,2350,12350,10,False,740,0,2,469.5,469.5,3,2542,1038,794,70,640,2276,12,58,47,34,22,8,13,11,0,14,6,10,0,4,3.5,62.002,17.511,34.468,1,1
Investigator,2351,12351,10,False,717,0,2,269.5,269.5,2,2121,997,437,70,617,1532,8,54,43,22,11,9,21,11,0,19,6,10,0,4,2.25,53.872,16.186,36.744,1,1
Investigator,2352,12352,10,False,1216,0,2,346,346,2,2911,1085,670,40,1116,1777,11,57,49,27,17,10,22,8,0,14,4,7,0,3,2.667,54.83,18.541,41.633,1,1
Investigator,2353,12353,10,False,602,0,2,359,359,0,2376,1061,763,50,502,2213,11,57,48,29,15,12,19,9,0,16,4,8,0,4,3.5,63.085,19.135,41.458,1,1
Investigator,2354,12354,10,False,1000,0,2,292,292,0,2246,940,296,110,900,1495,5,65,48,25,7,10,23,17,0,20,11,14,0,3,2.667,60.677,16.813,36.667,1,1
