profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,5,True,0,86,1,0,20,0,47,223,0,10,-186,33,0,26,2,2,0,0,0,0,24,1,3,4,0,1,1,126.25,2,18.75,20,1,1
Investigator,2346,12346,3,True,0,81,1,0,20,0,67,248,0,0,-181,269,0,17,2,2,0,1,0,0,15,3,2,3,0,1,1,128.75,3,33.75,25,1,1
Investigator,2347,12347,3,True,0,100,1,11.5,54.5,1,186,366,0,20,-200,789,0,12,5,5,1,3,0,0,7,6,1,5,2,2,1,127.5,2.2,33,26,1,1
Investigator,2348,12348,10,False,753,0,3,998,998,0,4019,1092,2184,90,653,8314,26,71,49,48,25,15,1,5,17,18,8,12,0,4,5.75,143.143,2.612,54.878,44.286,0.873,0.882
Investigator,2349,12349,7,True,0,53,1,24.5,217,2,841,766,188,40,-153,3068,4,47,19,19,7,8,0,5,23,17,4,7,1,2,1.5,144.342,2.421,37.263,28.421,1,1
Investigator,2350,12350,10,False,268,0,2,220,425.5,6,1513,1164,141,40,168,5913,3,76,33,33,17,13,0,3,40,23,3,7,0,4,1.25,144.803,2.515,39.364,31.212,1,1
Investigator,2351,12351,6,True,0,75,1,0,213,0,587,571,141,50,-175,1552,3,46,18,18,10,4,0,0,28,6,6,8,1,1,1,151.806,2.389,37.417,26.111,1,1
Investigator,2352,12352,10,False,1324,0,3,890,890,0,4028,1137,1617,50,1224,5820,21,69,41,40,22,14,1,6,22,22,4,8,0,4,4.5,135.19,2.488,54.902,49.024,0.826,0.907
Investigator,2353,12353,10,False,610,0,2,416.5,695.5,1,2778,985,1183,100,510,6977,18,72,45,45,28,10,0,1,26,19,8,13,1,4,3.75,145.752,2.6,50.511,36.444,1,1
Investigator,2354,12354,10,False,497,0,3,697,697,3,2855,1112,1276,70,397,5001,17,74,40,40,24,10,0,13,21,20,6,10,0,4,4.75,149.832,2.575,52.5,38.75,0.919,0.922
Middle-ground,2345,22345,10,False,824,0,2,403,423,0,2026,714,498,90,724,2669,8,67,38,33,3,22,5,2,27,12,10,12,0,2,2.5,109.833,1.868,30.921,32.368,0.522,0.302
Middle-ground,2346,22346,10,False,196,0,2,203.5,275,1,1241,743,312,90,96,2681,6,75,30,26,5,15,4,0,45,13,9,12,0,3,2.667,128.778,2.4,37.183,32,0.493,0.387
Middle-ground,2347,22347,10,False,745,0,2,535,535,5,2570,935,950,40,645,4145,15,66,36,34,15,15,2,1,29,13,4,7,0,3,3,134.428,2.444,48.111,42.778,0.485,0.447
Middle-ground,2348,22348,10,False,164,0,2,466.5,488,0,2005,873,1058,10,64,3704,15,68,37,35,8,26,2,0,31,23,1,4,0,3,4.667,115.946,1.865,36.068,38.378,0.441,0.282
Middle-ground,2349,22349,10,False,268,0,2,360.5,360.5,1,1711,849,654,40,168,2781,10,50,28,26,6,18,2,0,22,23,4,7,0,3,3.667,101.167,2,34.768,39.643,0.58,0.34
Middle-ground,2350,22350,10,False,143,0,2,355,444,0,2046,910,1043,50,43,4030,17,56,43,36,6,28,7,0,13,17,6,8,0,2,4,125.488,2.047,37.244,32.558,0.607,0.409
Middle-ground,2351,22351,10,False,223,0,2,384,384,0,1817,804,840,50,123,5917,13,39,29,28,6,17,1,0,10,22,5,8,0,3,3.333,120.799,2.345,44.034,42.069,0.564,0.337
Middle-ground,2352,22352,10,False,370,0,2,587,587,0,2457,943,1214,30,270,4513,16,53,37,36,5,27,1,0,16,24,4,6,0,2,4,118.608,2.027,42.081,40.27,0.509,0.314
