profile,session,seed,daysPlayed,gameOver,finalGold,finalDebt,finalReputationRank,finalReputationPoints,reputationEarned,trustStreak,dayReachedRep2,dayReachedRep3,dayReachedRep4,endOfDayRepRank[],endOfDayReputationPoints[],totalIncome,totalUpkeep,totalLevelUpSpend,totalHiringSpend,totalSurplus,totalXpGranted,levelUpsBought,ordersGenerated,ordersSent,ordersCompleted,cleanSuccesses,messySuccesses,ordersFailed,ordersReferred,ordersDeclined,wounds,deaths,huntersHired,huntersDismissed,endingHunters,averageEndingHunterLevel,averageSuccessChance,averagePartySize,averagePartyPower,averageRequiredPower,averageKnownTraitRatio,averageCaseQuality
Investigator,2345,12345,10,False,2712,0,4,3565.375,3565.375,0,1,2,5,2|3|3|3|4|4|4|4|4|4,172.5|613.75|902.5|1628.75|2088.125|2185.625|2563.125|2823.125|3162.875|3565.375,5849,1299,1928,10,2612,7258,23,76,33,30,13,17,3,32,11,15,0,4,0,4,6.75,117.663,2.818,65.515,70.606,0.526,0.716
Investigator,2346,12346,10,False,2882,0,4,3969.875,4573.625,4,1,3,7,2|2|3|2|3|3|4|4|4|4,357.5|589.375|733.75|260|817.5|1801.875|2344.375|2751.125|2825.875|3969.875,5561,1194,1555,30,2782,8666,20,78,39,38,22,14,1,32,7,13,2,6,0,4,5,126.898,2.872,57.282,56.41,0.744,0.815
Investigator,2347,12347,10,False,920,0,4,2638.25,2638.25,3,1,2,9,2|3|3|3|3|3|3|3|4|4,357.5|615.625|615.625|715.625|943.125|1040.625|1223.125|1617.5|2308.375|2638.25,4348,1149,2369,10,820,9335,26,66,33,31,10,21,2,25,8,20,0,4,0,4,7.5,121.543,2.576,58.742,57.273,0.636,0.727
Investigator,2348,12348,10,False,1854,0,4,5166.125,5166.125,0,1,3,5,2|2|3|3|4|4|4|4|4|4,219.625|548.625|863.625|1904.875|2307.375|3173.625|4158|4971.125|5068.625|5166.125,5725,1277,2664,30,1754,9747,28,71,35,35,11,22,0,25,11,18,2,6,0,4,5,134.718,2.914,75.229,60.286,0.606,0.717
Investigator,2349,12349,10,False,1398,0,4,3497.5,3497.5,2,1,2,6,2|3|3|3|3|4|4|4|4|4,412.5|613.75|613.75|898.125|1125.625|2083.75|2148.75|2246.25|2990.5|3497.5,5089,1241,2540,10,1298,10435,27,76,30,29,12,17,1,28,18,13,0,4,0,4,7.75,118.781,2.7,67.633,67.667,0.632,0.718
Investigator,2350,12350,10,False,1790,0,4,4468.5,5102.875,5,1,2,7,2|3|2|3|3|3|4|4|4|4,277.5|764.375|446.25|903.5|1366|1838.25|2329.75|3160.25|3632.25|4468.5,5838,1305,2813,30,1690,13542,31,68,43,40,19,19,3,15,10,18,2,6,0,4,7.75,125.213,2.721,65.942,61.628,0.676,0.772
Investigator,2351,12351,10,False,2228,0,4,4212.25,4212.25,5,1,2,5,2|3|3|3|4|4|4|4|4|4,500|762.5|1138.75|1956.25|2113.75|2188.5|2671|3433.5|3722.25|4212.25,5094,1297,1649,20,2128,6035,21,76,30,30,16,13,0,32,14,5,1,5,0,4,5.5,135.442,2.867,69.217,56.333,0.645,0.749
Investigator,2352,12352,10,False,2821,0,4,4593.75,4593.75,1,1,3,4,2|2|3|4|4|4|4|4|4|4,334.375|589.375|1197.5|2330.625|2558.125|3131.25|3310|3717.5|4159.625|4593.75,6239,1248,2260,10,2721,8329,25,72,38,37,14,23,1,27,7,17,0,4,0,4,7.25,123.687,2.842,66.566,62.632,0.611,0.726
Investigator,2353,12353,10,False,1628,0,4,3796.25,3796.25,0,1,3,7,2|2|3|3|3|3|4|4|4|4,214.75|543.75|775.625|1007.5|1322.5|1493.125|2280.625|2976.25|3623.75|3796.25,4735,1221,1966,20,1528,7374,23,77,30,29,13,15,1,36,11,15,1,5,0,4,5.25,123.612,2.6,61.133,58.333,0.532,0.74
Investigator,2354,12354,10,False,2197,0,4,2866.25,2866.25,1,1,2,7,2|3|3|3|3|3|4|4|4|4,261.875|619|858.25|1265.375|1525.375|1932.125|2192.125|2454.625|2754.125|2866.25,5306,1065,2084,60,2097,7758,27,73,40,38,10,23,2,25,8,19,5,9,0,4,3.75,125.5,2.65,57.513,48.75,0.589,0.695
